Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
50,390,0.096,0.085,0.059,12.5,20,0.1,0.34,0.12,ELXZ500E□□391MK20S,1480,1391.2,740,1258,19500
50,470,0.08,0.071,0.059,12.5,20,0.1,0.282,0.12,ELXZ500E□□471MK20S,1480,1391.2,740,1258,23500
50,560,0.067,0.059,0.044,12.5,25,0.1,0.237,0.088,ELXZ500E□□561MK25S,1840,1729.6,920,1564,28000
50,680,0.078,0.07,0.039,12.5,30,0.1,0.195,0.078,ELXZ500E□□681MK30S,2220,2100.36,1329.34,1927.54,34000
50,680,0.078,0.07,0.048,16,20,0.1,0.195,0.096,ELXZ500E□□681ML20S,1840,1740.84,1101.8,1597.6,34000
50,820,0.065,0.058,0.033,12.5,35,0.1,0.162,0.066,ELXZ500E□□821MK35S,2290,2166.59,1371.26,1988.32,41000
50,820,0.065,0.058,0.042,18,20,0.1,0.162,0.084,ELXZ500E□□821MM20S,1980,1873.29,1185.63,1719.16,41000
50,1000,0.064,0.057,0.029,12.5,40,0.1,0.159,0.058,ELXZ500E□□102MK40S,2500,2365.27,1497.01,2170.66,50000
50,1000,0.064,0.057,0.034,16,25,0.1,0.159,0.068,ELXZ500E□□102ML25S,2240,2119.28,1341.32,1944.91,50000
50,1200,0.053,0.048,0.028,16,30,0.1,0.133,0.056,ELXZ500E□□122ML30S,2700,2554.49,1616.77,2344.31,60000
50,1200,0.053,0.048,0.029,18,25,0.1,0.133,0.058,ELXZ500E□□122MM25S,2610,2469.34,1562.87,2266.17,60000
50,1500,0.043,0.038,0.025,16,35,0.1,0.106,0.05,ELXZ500E□□152ML35S,2800,2649.1,1676.65,2431.14,75000
50,1800,0.035,0.032,0.021,16,40,0.1,0.088,0.042,ELXZ500E□□182ML40S,3200,3027.54,1916.17,2778.44,90000
50,1800,0.035,0.032,0.025,18,30,0.1,0.088,0.05,ELXZ500E□□182MM30S,3000,2838.32,1796.41,2604.79,90000
50,2200,0.052,0.048,0.023,18,35,0.1,0.084,0.046,ELXZ500E□□222MM35S,3100,2960.15,2330.83,2796.99,110000
50,2700,0.043,0.039,0.02,18,40,0.1,0.069,0.04,ELXZ500E□□272MM40S,3400,3246.62,2556.39,3067.67,135000
63,12,1.747,1.415,1.9,5,11.5,0.08,8.842,4,ELXZ630E□□120MEB5D,145,130.5,58,109.04,756
63,22,0.953,0.772,1,6.3,11.5,0.08,4.823,2,ELXZ630E□□220MFB5D,240,216,96,180.48,1386
63,39,0.537,0.435,0.61,6.3,15,0.08,2.721,1.4,ELXZ630E□□390MF15D,330,297,132,248.16,2457
63,68,0.308,0.25,0.34,8,12,0.08,1.56,0.75,ELXZ630E□□680MH12D,405,364.5,162,304.56,4284
63,100,0.21,0.17,0.27,8,15,0.08,1.061,0.65,ELXZ630E□□101MH15D,535,481.5,214,402.32,6300
63,100,0.21,0.17,0.255,10,12.5,0.08,1.061,0.51,ELXZ630E□□101MJC5S,540,486,216,406.08,6300
63,120,0.175,0.141,0.19,10,16,0.08,0.884,0.38,ELXZ630E□□121MJ16S,600,540,240,451.2,7560
63,150,0.14,0.113,0.21,8,20,0.08,0.707,0.52,ELXZ630E□□151MH20D,690,621,276,518.88,9450
63,180,0.116,0.094,0.145,10,20,0.08,0.589,0.29,ELXZ630E□□181MJ20S,890,801,356,669.28,11340
63,220,0.136,0.121,0.13,10,25,0.08,0.482,0.26,ELXZ630E□□221MJ25S,1050,987,525,892.5,13860
63,330,0.091,0.08,0.09,10,30,0.08,0.322,0.18,ELXZ630E□□331MJ30S,1300,1222,650,1105,20790
63,330,0.091,0.08,0.085,12.5,20,0.08,0.322,0.17,ELXZ630E□□331MK20S,1290,1212.6,645,1096.5,20790
63,390,0.077,0.068,0.07,12.5,25,0.08,0.272,0.14,ELXZ630E□□391MK25S,1720,1616.8,860,1462,24570
63,470,0.064,0.056,0.055,12.5,30,0.08,0.226,0.11,ELXZ630E□□471MK30S,2090,1964.6,1045,1776.5,29610
63,470,0.064,0.056,0.059,16,20,0.08,0.226,0.12,ELXZ630E□□471ML20S,1770,1663.8,885,1504.5,29610
63,680,0.063,0.056,0.047,12.5,35,0.08,0.156,0.094,ELXZ630E□□681MK35S,2270,2147.66,1359.28,1970.96,42840
63,680,0.063,0.056,0.05,16,25,0.08,0.156,0.1,ELXZ630E□□681ML25S,2160,2043.59,1293.41,1875.45,42840
63,680,0.063,0.056,0.055,18,20,0.08,0.156,0.11,ELXZ630E□□681MM20S,2290,2166.59,1371.26,1988.32,42840
63,820,0.052,0.046,0.042,12.5,40,0.08,0.129,0.084,ELXZ630E□□821MK40S,2560,2422.04,1532.93,2222.75,51660
63,820,0.052,0.046,0.043,16,30,0.08,0.129,0.086,ELXZ630E□□821ML30S,2670,2526.11,1598.8,2318.26,51660
63,820,0.052,0.046,0.043,18,25,0.08,0.129,0.086,ELXZ630E□□821MM25S,2590,2450.42,1550.9,2248.8,51660
63,1000,0.053,0.048,0.043,16,30,0.08,0.133,0.086,ELXZ630E□□102ML30S,2670,2526.11,1598.8,2318.26,63000
63,1000,0.053,0.048,0.036,16,35,0.08,0.133,0.072,ELXZ630E□□102ML35S,2770,2620.72,1658.68,2405.09,63000
63,1200,0.044,0.04,0.03,16,40,0.08,0.111,0.06,ELXZ630E□□122ML40S,2850,2696.41,1706.59,2474.55,75600
