Voltage,Capacitance,ESR(est.) 20°C@10kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,10kHz.1,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,VC,Vibration resistant,Weight (g)
25,2200,0.071,0.015,12.5,25,1.0,-40,105,0.15,0.115,10000,1.27,1.0,1.2,0.045,550,800,UHW1E222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3200,MP,55000.0,Normal,4.56
25,2200,0.071,0.015,16,20,1.0,-40,105,0.15,0.115,10000,1.27,1.0,1.2,0.045,550,600,UHW1E222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,55000.0,Normal,6.6
25,2700,0.058,0.012,12.5,30.5,1.0,-40,105,0.15,0.093,10000,1.27,1.0,1.2,0.036,675,600,UHW1E272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,67500.0,Normal,6.01
25,2700,0.058,0.015,16,20,1.0,-40,105,0.15,0.093,10000,1.27,1.0,1.2,0.045,675,600,UHW1E272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,67500.0,Normal,6.6
25,3300,0.057,0.011,12.5,35.5,1.0,-40,105,0.17,0.092,10000,1.27,1.0,1.2,0.033,825,500,UHW1E332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4120,MP,82500.0,Normal,7.06
25,3300,0.057,0.013,16,25,1.0,-40,105,0.17,0.092,10000,1.27,1.0,1.2,0.039,825,400,UHW1E332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,82500.0,Normal,8.2
25,3900,0.048,0.013,16,25,1.0,-40,105,0.17,0.078,10000,1.27,1.0,1.2,0.039,975,400,UHW1E392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,97500.0,Normal,8.2
25,4700,0.058,0.011,16,30.5,1.0,-40,105,0.19,0.076,10000,1.15,1.0,1.12,0.033,1175,300,UHW1E472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4000,MP,117500.0,Normal,9.6
25,5600,0.056,0.01,16,35.5,1.0,-40,105,0.21,0.073,10000,1.15,1.0,1.12,0.03,1400,300,UHW1E562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4200,MP,140000.0,Normal,11.8
35,47,0.613,0.47,5,11,1.0,-40,105,0.11,3.104,7000,2.25,1.0,1.88,1.5,16,6000,UHW1V470MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,1645.0,Normal,0.44
