Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
35,100,0.12,0.28,8,11.5,-55,105,1.592,2000,105,3000,UPS1V101MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,410,205,328,266.5,123,MP,3500,Normal,1.19
35,150,0.12,0.28,8,11.5,-55,105,1.061,2000,158,3000,UPS1V151MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,410,205,328,266.5,123,MP,5250,Normal,1.19
35,220,0.12,0.19,10,12.5,-55,105,0.723,2000,231,2000,UPS1V221MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,600,600,300,480,390,180,MP,7700,Normal,1.49
35,330,0.12,0.14,10,16,-55,105,0.482,2000,347,1800,UPS1V331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,800,800,567.38,720.57,652.48,453.9,MP,11550,Normal,1.77
35,470,0.12,0.11,10,20,-55,105,0.339,2000,494,1400,UPS1V471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,100,100,70.92,90.07,81.56,56.74,MP,16450,Normal,2.34
35,680,0.12,0.075,12.5,20,-55,105,0.234,3000,714,1000,UPS1V681MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1250,1250,886.52,1125.89,1019.5,709.22,MP,23800,Normal,3.43
35,1000,0.12,0.057,12.5,25,-55,105,0.186,3000,1050,800,UPS1V102MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1550,1550,1347.83,1523.04,1482.61,1159.13,MP,35000,Normal,4.56
35,1500,0.12,0.038,16,25,-55,105,0.124,3000,1575,400,UPS1V152MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,1900,1652.17,1866.96,1817.39,1420.87,MP,52500,Normal,8.2
35,2200,0.14,0.033,16,30.5,-55,105,0.109,3000,2310,300,UPS1V222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2350,2350,2043.48,2309.13,2247.83,1757.39,MP,77000,Normal,9.6
35,3300,0.16,0.03,18,35.5,-55,105,0.088,3000,3465,250,UPS1V332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2700,2700,2347.83,2653.04,2582.61,2019.13,MP,115500,Normal,14.2
35,4700,0.18,0.027,18,40,-55,105,0.073,3000,4935,200,UPS1V472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3300,3300,2869.57,3242.61,3156.52,2467.83,MP,164500,Normal,17.7
50,2.2,0.1,4.5,5,11,-55,105,60.286,2000,4,6000,UPS1H2R2MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,55,,,,,,EOL,110.00000000000001,Normal,0.44
50,3.3,0.1,3.9,5,11,-55,105,40.191,2000,5,6000,UPS1H3R3MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,65,,,,,,EOL,165,Normal,0.44
50,4.7,0.1,3.5,5,11,-55,105,28.219,2000,7,6000,UPS1H4R7MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,90,,,,,,EOL,235,Normal,0.44
50,10,0.1,2.1,5,11,-55,105,13.263,2000,15,6000,UPS1H100MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,120,,,,,,EOL,500,Normal,0.44
50,22,0.1,1.8,5,11,-55,105,6.029,2000,33,6000,UPS1H220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,150,150,25.51,97.45,59.95,,EOL,1100,Normal,0.44
50,33,0.1,0.65,6.3,11,-55,105,4.019,2000,50,4000,UPS1H330MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,250,42.52,162.41,99.91,,EOL,1650,Normal,0.59
50,47,0.1,0.65,6.3,11,-55,105,2.822,2000,71,4000,UPS1H470MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,250,42.52,162.41,99.91,,EOL,2350,Normal,0.59
50,100,0.1,0.36,8,11.5,-55,105,1.326,2000,150,3000,UPS1H101MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,340,340,170,272,221,102,MP,5000,Normal,1.19
50,150,0.1,0.26,10,12.5,-55,105,0.884,2000,225,2000,UPS1H151MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,490,490,245,392,318.5,147,MP,7500,Normal,1.49
50,220,0.1,0.18,10,16,-55,105,0.603,2000,330,1800,UPS1H221MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,650,650,325,520,422.5,195,MP,11000,Normal,1.77
50,330,0.1,0.15,10,20,-55,105,0.402,2000,495,1400,UPS1H331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,810,810,574.47,729.57,660.64,459.57,MP,16500,Normal,2.34
50,470,0.1,0.13,12.5,20,-55,105,0.282,3000,705,1000,UPS1H471MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1100,1100,780.14,990.78,897.16,624.11,MP,23500,Normal,3.43
50,680,0.1,0.1,12.5,25,-55,105,0.195,3000,1020,800,UPS1H681MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1200,1200,851.06,1080.85,978.72,680.85,MP,34000,Normal,4.56
50,1000,0.1,0.058,16,25,-55,105,0.159,3000,1500,400,UPS1H102MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1600,1600,1391.3,1572.17,1530.43,1196.52,MP,50000,Normal,8.2
50,1500,0.1,0.04,16,30.5,-55,105,0.106,3000,2250,300,UPS1H152MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2000,2000,1739.13,1965.22,1913.04,1495.65,MP,75000,Normal,9.6
50,2200,0.12,0.035,18,35.5,-55,105,0.096,3000,3300,250,UPS1H222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2300,2300,2000,2260,2200,1720,MP,110000,Normal,14.2
63,4.7,0.09,4.7,5,11,-55,105,25.397,2000,9,6000,UPS1J4R7MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,68,,,,,,EOL,296.1,Normal,0.44
63,10,0.09,2.1,5,11,-55,105,11.937,2000,19,6000,UPS1J100MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,110,,,,,,EOL,630,Normal,0.44
63,22,0.09,0.98,6.3,11,-55,105,5.426,2000,42,4000,UPS1J220MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,30.61,116.94,71.94,,EOL,1386,Normal,0.59
63,33,0.09,0.71,6.3,11,-55,105,3.617,2000,62,4000,UPS1J330MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,220,220,37.41,142.93,87.93,,EOL,2079,Normal,0.59
63,47,0.09,0.65,8,11.5,-55,105,2.54,2000,89,3000,UPS1J470MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,310,310,52.72,201.39,123.89,,MP,2961,Normal,1.19
63,100,0.09,0.31,10,12.5,-55,105,1.194,2000,189,2000,UPS1J101MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,390,390,195,312,253.5,117,MP,6300,Normal,1.49
63,150,0.09,0.25,10,16,-55,105,0.796,2000,284,1800,UPS1J151MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,440,440,220,352,286,132,MP,9450,Normal,1.77
63,220,0.09,0.2,10,20,-55,105,0.543,2000,416,1400,UPS1J221MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,700,700,350,560,455,210,MP,13860,Normal,2.34
