Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
16,3300,0.08,0.023,12.5,40,-55,105,0.2,5000,0.046,1584,400,UPM1C332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2210,MP,Normal,7.57
16,3300,0.08,0.027,18,20,-55,105,0.2,5000,0.054,1584,400,UPM1C332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1880,MP,Normal,9.0
16,3900,0.068,0.022,16,30.5,-55,105,0.2,5000,0.044,1872,300,UPM1C392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2250,MP,Normal,9.6
16,3900,0.068,0.025,18,25,-55,105,0.2,5000,0.05,1872,300,UPM1C392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2110,MP,Normal,10.6
16,4700,0.062,0.02,16,35.5,-55,105,0.22,5000,0.04,2256,300,UPM1C472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2490,MP,Normal,11.8
16,4700,0.062,0.023,18,30.5,-55,105,0.22,5000,0.046,2256,300,UPM1C472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2440,MP,Normal,13.1
16,5600,0.057,0.019,16,40,-55,105,0.24,5000,0.038,2688,300,UPM1C562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2790,MP,Normal,14.1
16,5600,0.057,0.022,18,35.5,-55,105,0.24,5000,0.044,2688,250,UPM1C562MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2350,MP,Normal,14.2
16,6800,0.051,0.018,18,35.5,-55,105,0.26,5000,0.036,3264,250,UPM1C682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2740,MP,Normal,14.2
16,8200,0.049,0.017,18,40,-55,105,0.3,5000,0.034,3936,200,UPM1C822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2970,MP,Normal,17.7
25,33,5.627,0.8,5,11,-55,105,0.14,2000,1.6,25,6000,UPM1E330MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,88,EOL,Normal,0.44
25,39,4.761,0.65,5,11,-55,105,0.14,2000,1.3,29,6000,UPM1E390MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,100,EOL,Normal,0.44
