Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
10,2200,,,0.034,12.5,25,,,0.085,ELXV100E□□222MK25S,1700,,,,22000
10,2700,,,0.03,12.5,30,,,0.075,ELXV100E□□272MK30S,1980,,,,27000
10,3300,,,0.027,12.5,35,,,0.068,ELXV100E□□332MK35S,2230,,,,33000
10,3300,,,0.038,16,20,,,0.095,ELXV100E□□332ML20S,1770,,,,33000
10,3900,,,0.024,12.5,40,,,0.06,ELXV100E□□392MK40S,2460,,,,39000
10,3900,,,0.028,16,25,,,0.07,ELXV100E□□392ML25S,2190,,,,39000
10,3900,,,0.036,18,20,,,0.09,ELXV100E□□392MM20S,1940,,,,39000
10,4700,,,0.027,18,25,,,0.068,ELXV100E□□472MM25S,2350,,,,47000
10,5600,,,0.025,16,30,,,0.063,ELXV100E□□562ML30S,2510,,,,56000
10,6800,,,0.022,16,35,,,0.055,ELXV100E□□682ML35S,2770,,,,68000
10,6800,,,0.024,18,30,,,0.06,ELXV100E□□682MM30S,2720,,,,68000
10,8200,,,0.018,16,40,,,0.045,ELXV100E□□822ML40S,3110,,,,82000
10,8200,,,0.021,18,35,,,0.053,ELXV100E□□822MM35S,3050,,,,82000
10,10000,,,0.017,18,40,,,0.043,ELXV100E□□103MM40S,3300,,,,100000
16,56,,,0.72,5,11.5,,,1.8,ELXV160E□□560MEB5D,165,,,,896
16,120,,,0.38,6.3,11.5,,,0.95,ELXV160E□□121MFB5D,255,,,,1920
16,180,,,0.27,6.3,15,,,0.68,ELXV160E□□181MF15D,330,,,,2880
16,270,,,0.2,8,12,,,0.5,ELXV160E□□271MH12D,415,,,,4320
16,270,,,0.12,10,12.5,,,0.3,ELXV160E□□271MJC5S,635,,,,4320
16,330,,,0.16,8,15,,,0.4,ELXV160E□□331MH15D,495,,,,5280
16,470,,,0.11,8,20,,,0.28,ELXV160E□□471MH20D,640,,,,7520
16,470,,,0.084,10,16,,,0.21,ELXV160E□□471MJ16S,825,,,,7520
