Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
80,820,,0.03,18,31.5,,0.09,EKY-800E□□821MMN3S,1900,1797.6,1137.72,1649.7,65600
80,1000,,0.027,16,40,,0.081,EKY-800E□□102ML40S,2200,2081.44,1317.37,1910.18,80000
80,1000,,0.027,18,35.5,,0.081,EKY-800E□□102MMP1S,2200,2081.44,1317.37,1910.18,80000
80,1200,,0.026,18,40,,0.077,EKY-800E□□122MM40S,2700,2554.49,1616.77,2344.31,96000
100,47,,0.17,10,12.5,,0.66,EKY-101E□□470MJC5S,480,432,192,360.96,4700
100,68,,0.11,10,16,,0.47,EKY-101E□□680MJ16S,600,540,240,451.2,6800
100,82,,0.084,10,20,,0.34,EKY-101E□□820MJ20S,800,720,320,601.6,8200
100,100,,0.11,12.5,16,,0.34,EKY-101E□□101MK16S,750,675,300,564,10000
100,120,,0.069,10,25,,0.28,EKY-101E□□121MJ25S,900,810,360,676.8,12000
100,150,,0.062,12.5,20,,0.18,EKY-101E□□151MK20S,1100,990,440,827.2,15000
100,220,,0.047,12.5,25,,0.14,EKY-101E□□221MK25S,1250,1175,625,1062.5,22000
100,220,,0.048,16,20,,0.15,EKY-101E□□221ML20S,1350,1269,675,1147.5,22000
100,270,,0.042,12.5,30,,0.13,EKY-101E□□271MK30S,1500,1410,750,1275,27000
100,330,,0.036,12.5,35,,0.11,EKY-101E□□331MK35S,1650,1551,825,1402.5,33000
100,330,,0.038,16,25,,0.12,EKY-101E□□331ML25S,1700,1598,850,1445,33000
100,330,,0.045,18,20,,0.14,EKY-101E□□331MM20S,1500,1410,750,1275,33000
100,390,,0.032,12.5,40,,0.095,EKY-101E□□391MK40S,1800,1692,900,1530,39000
100,470,,0.032,16,31.5,,0.095,EKY-101E□□471MLN3S,1850,1739,925,1572.5,47000
100,470,,0.036,18,25,,0.11,EKY-101E□□471MM25S,1750,1645,875,1487.5,47000
100,560,,0.029,16,35.5,,0.086,EKY-101E□□561MLP1S,2000,1880,1000,1700,56000
100,560,,0.03,18,31.5,,0.09,EKY-101E□□561MMN3S,1900,1786,950,1615,56000
100,680,,0.027,16,40,,0.081,EKY-101E□□681ML40S,2200,2081.44,1317.37,1910.18,68000
100,680,,0.027,18,35.5,,0.081,EKY-101E□□681MMP1S,2200,2081.44,1317.37,1910.18,68000
100,820,,0.026,18,40,,0.077,EKY-101E□□821MM40S,2700,2554.49,1616.77,2344.31,82000
