Voltage,Capacitance,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
80,82,0.233,0.11,8,20,0.09,1.456,2.5,2.25,1.0,1.88,0.44,EKYB800E□□820MH20D,735,6560.0
80,82,0.233,0.14,10,12.5,0.09,1.456,2.5,2.25,1.0,1.88,0.56,EKYB800E□□820MJC5S,624,6560.0
80,120,0.159,0.1,10,16,0.09,0.995,2.5,2.25,1.0,1.88,0.4,EKYB800E□□121MJ16S,780,9600.0
80,180,0.106,0.075,10,20,0.09,0.663,2.5,2.25,1.0,1.88,0.3,EKYB800E□□181MJ20S,1040,14400.0
80,220,0.136,0.06,10,25,0.09,0.543,2.0,1.88,1.0,1.7,0.24,EKYB800E□□221MJ25S,1170,17600.0
80,270,0.111,0.053,10,30,0.09,0.442,2.0,1.88,1.0,1.7,0.22,EKYB800E□□271MJ30S,1350,21600.0
80,270,0.111,0.048,12.5,20,0.09,0.442,2.0,1.88,1.0,1.7,0.2,EKYB800E□□271MK20S,1430,21600.0
80,390,0.077,0.039,12.5,25,0.09,0.306,2.0,1.88,1.0,1.7,0.16,EKYB800E□□391MK25S,1620,31200.0
80,470,0.063,0.033,12.5,30,0.09,0.254,2.0,1.88,1.0,1.7,0.14,EKYB800E□□471MK30S,1950,37600.0
80,470,0.063,0.036,16,20,0.09,0.254,2.0,1.88,1.0,1.7,0.15,EKYB800E□□471ML20S,1750,37600.0
80,560,0.053,0.026,12.5,35,0.09,0.213,2.0,1.88,1.0,1.7,0.11,EKYB800E□□561MK35S,2250,44800.0
80,560,0.053,0.032,18,20,0.09,0.213,2.0,1.88,1.0,1.7,0.13,EKYB800E□□561MM20S,2100,44800.0
