Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
160,0.47,564.38,6.3,11,-40,85,0.2,2000,48,4000,UVR2CR47MED,Uni-Polar,Radial Lead,Standard,15,EOL,Normal,0.59
160,1,265.258,6.3,11,-40,85,0.2,2000,56,4000,UVR2C010MED,Uni-Polar,Radial Lead,Standard,22,EOL,Normal,0.59
160,2.2,120.572,6.3,11,-40,85,0.2,2000,75,4000,UVR2C2R2MED,Uni-Polar,Radial Lead,Standard,33,EOL,Normal,0.59
160,3.3,80.381,6.3,11,-40,85,0.2,2000,93,4000,UVR2C3R3MED,Uni-Polar,Radial Lead,Standard,40,EOL,Normal,0.59
160,4.7,56.438,6.3,11,-40,85,0.2,2000,115,4000,UVR2C4R7MED,Uni-Polar,Radial Lead,Standard,50,EOL,Normal,0.59
160,10,26.526,8,11.5,-40,85,0.2,2000,164,3000,UVR2C100MPD,Uni-Polar,Radial Lead,Standard,80,MP,Normal,1.19
160,22,12.057,10,16,-40,85,0.2,2000,241,1800,UVR2C220MPD,Uni-Polar,Radial Lead,Standard,155,MP,Normal,1.77
160,33,8.038,10,20,-40,85,0.2,2000,311,1400,UVR2C330MPD,Uni-Polar,Radial Lead,Standard,205,MP,Normal,2.34
160,47,5.644,12.5,20,-40,85,0.2,2000,401,1000,UVR2C470MHD,Uni-Polar,Radial Lead,Standard,270,MP,Normal,3.43
160,100,2.653,12.5,25,-40,85,0.2,2000,740,800,UVR2C101MHD,Uni-Polar,Radial Lead,Standard,430,MP,Normal,4.56
160,220,1.206,16,35.5,-40,85,0.2,2000,1508,300,UVR2C221MHD,Uni-Polar,Radial Lead,Standard,800,MP,Normal,11.8
160,330,0.804,18,40,-40,85,0.2,2000,2212,200,UVR2C331MHD,Uni-Polar,Radial Lead,Standard,940,MP,Normal,17.7
160,330,0.804,22,30,-40,85,0.2,2000,2212,250,UVR2C331MRD6,Uni-Polar,Radial Lead,Standard,900,EOL,Normal,16.6
160,470,0.564,22,40,-40,85,0.2,2000,3108,250,UVR2C471MRD,Uni-Polar,Radial Lead,Standard,1410,EOL,Normal,23.8
160,470,0.564,25,30,-40,85,0.2,2000,3108,160,UVR2C471MRD6,Uni-Polar,Radial Lead,Standard,1290,EOL,Normal,21.5
160,1000,0.265,25,50,-40,85,0.2,2000,6500,140,UVR2C102MRD,Uni-Polar,Radial Lead,Standard,1900,EOL,Normal,38.8
200,0.47,564.38,6.3,11,-40,85,0.2,2000,49,4000,UVR2DR47MED,Uni-Polar,Radial Lead,Standard,15,EOL,Normal,0.59
200,1,265.258,6.3,11,-40,85,0.2,2000,60,4000,UVR2D010MED,Uni-Polar,Radial Lead,Standard,22,EOL,Normal,0.59
200,2.2,120.572,6.3,11,-40,85,0.2,2000,84,4000,UVR2D2R2MED,Uni-Polar,Radial Lead,Standard,33,EOL,Normal,0.59
200,3.3,80.381,6.3,11,-40,85,0.2,2000,106,4000,UVR2D3R3MED,Uni-Polar,Radial Lead,Standard,40,EOL,Normal,0.59
200,4.7,56.438,8,11.5,-40,85,0.2,2000,134,3000,UVR2D4R7MPD,Uni-Polar,Radial Lead,Standard,55,MP,Normal,1.19
200,10,26.526,10,12.5,-40,85,0.2,2000,180,2000,UVR2D100MPD,Uni-Polar,Radial Lead,Standard,95,MP,Normal,1.49
200,22,12.057,10,20,-40,85,0.2,2000,276,1400,UVR2D220MPD,Uni-Polar,Radial Lead,Standard,170,MP,Normal,2.34
200,33,8.038,12.5,20,-40,85,0.2,2000,364,1000,UVR2D330MHD,Uni-Polar,Radial Lead,Standard,230,MP,Normal,3.43
