Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,VC
250,82,0.2,10,35,3.235,1425,1197,570,855,741,456,456,20500
250,82,0.2,12.5,25,3.235,1425,1197,570,855,741,456,456,20500
250,82,0.2,14.5,20,3.235,1250,1050,500,750,650,400,400,20500
250,100,0.2,10,45,2.653,1620,1440,720,1080,936,576,576,25000
250,100,0.2,12.5,30,2.653,1553,1380,690,1035,897,552,552,25000
250,100,0.2,16,20,2.653,1800,1600,800,1200,1040,640,640,25000
250,120,0.2,10,50,2.21,1755,1560,780,1170,1014,624,624,30000
250,120,0.2,12.5,35,2.21,1778,1580,790,1185,1027,632,632,30000
250,120,0.2,14.5,25,2.21,1688,1500,750,1125,975,600,600,30000
250,120,0.2,18,20,2.21,2250,2000,1000,1500,1300,800,800,30000
250,150,0.2,12.5,40,1.768,2070,1840,920,1380,1196,736,736,37500
250,150,0.2,14.5,30,1.768,1868,1660,830,1245,1079,664,664,37500
250,150,0.2,16,25,1.768,1890,1680,840,1260,1092,672,672,37500
250,180,0.2,12.5,45,1.474,2183,1940,970,1455,1261,776,776,45000
250,180,0.2,14.5,35,1.474,2160,1920,960,1440,1248,768,768,45000
250,180,0.2,16,30,1.474,2138,1900,950,1425,1235,760,760,45000
250,180,0.2,18,25,1.474,2070,1840,920,1380,1196,736,736,45000
250,220,0.2,14.5,40,1.206,2498,2220,1110,1665,1443,888,888,55000
250,220,0.2,16,35,1.206,2475,2200,1100,1650,1430,880,880,55000
250,220,0.2,18,30,1.206,2475,2200,1100,1650,1430,880,880,55000
250,270,0.2,14.5,50,0.982,2600,2470,1300,1950,1690,1040,1040,67500
250,270,0.2,16,40,0.982,2540,2413,1270,1905,1651,1016,1016,67500
250,270,0.2,18,35,0.982,2520,2394,1260,1890,1638,1008,1008,67500
250,330,0.2,16,50,0.804,2960,2812,1480,2220,1924,1184,1184,82500
250,330,0.2,18,40,0.804,2900,2755,1450,2175,1885,1160,1160,82500
250,390,0.2,18,45,0.68,3180,3021,1590,2385,2067,1272,1272,97500
250,470,0.2,18,50,0.564,3660,3477,1830,2745,2379,1464,1464,117500
350,18,0.2,10,16,14.737,400,336,160,240,208,128,128,6300
350,22,0.2,10,20,12.057,500,420,200,300,260,160,160,7700
350,27,0.2,16,16,9.824,775,651,310,465,403,248,248,9450
350,33,0.2,10,25,8.038,825,693,330,495,429,264,264,11550
350,33,0.2,12.5,20,8.038,850,714,340,510,442,272,272,11550
350,33,0.2,18,16,8.038,950,798,380,570,494,304,304,11550
350,39,0.2,10,30,6.801,975,819,390,585,507,312,312,13650
350,47,0.2,10,35,5.644,1125,945,450,675,585,360,360,16450
350,47,0.2,12.5,25,5.644,1125,945,450,675,585,360,360,16450
350,47,0.2,14.5,20,5.644,1050,882,420,630,546,336,336,16450
350,56,0.2,10,40,4.737,1300,1092,520,780,676,416,416,19600
350,56,0.2,12.5,30,4.737,1375,1155,550,825,715,440,440,19600
350,56,0.2,16,20,4.737,1200,1008,480,720,624,384,384,19600
350,68,0.2,10,50,3.901,1500,1260,600,900,780,480,480,23800
350,68,0.2,12.5,35,3.901,1525,1281,610,915,793,488,488,23800
350,68,0.2,14.5,25,3.901,1400,1176,560,840,728,448,448,23800
350,82,0.2,12.5,40,3.235,1775,1491,710,1065,923,568,568,28700
350,82,0.2,14.5,30,3.235,1675,1407,670,1005,871,536,536,28700
350,82,0.2,16,25,3.235,1625,1365,650,975,845,520,520,28700
350,82,0.2,18,20,3.235,1300,1092,520,780,676,416,416,28700
350,100,0.2,12.5,45,2.653,1778,1580,790,1185,1027,632,632,35000
350,100,0.2,14.5,35,2.653,1755,1560,780,1170,1014,624,624,35000
350,100,0.2,16,30,2.653,1733,1540,770,1155,1001,616,616,35000
350,100,0.2,18,25,2.653,1710,1520,760,1140,988,608,608,35000
350,120,0.2,12.5,50,2.21,1913,1700,850,1275,1105,680,680,42000
350,120,0.2,14.5,40,2.21,2025,1800,900,1350,1170,720,720,42000
350,120,0.2,16,35,2.21,2003,1780,890,1335,1157,712,712,42000
350,150,0.2,14.5,45,1.768,2183,1940,970,1455,1261,776,776,52500
