Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current 105°C@100kHz,VC
63,390,0.077,12.5,20,0.09,0.306,2.0,1.88,1.0,1.7,0.1,0.033,EKZN630E□□391MK20S,1990,24570.0
63,560,0.053,12.5,25,0.09,0.213,2.0,1.88,1.0,1.7,0.08,0.026,EKZN630E□□561MK25S,2460,35280.0
63,680,0.063,12.5,30,0.09,0.176,1.67,1.58,1.0,1.45,0.075,0.024,EKZN630E□□681MK30S,2760,42840.0
63,680,0.063,16,20,0.09,0.176,1.67,1.58,1.0,1.45,0.085,0.027,EKZN630E□□681ML20S,2380,42840.0
63,820,0.052,12.5,35,0.09,0.146,1.67,1.58,1.0,1.45,0.068,0.022,EKZN630E□□821MK35S,3040,51660.0
63,820,0.052,18,20,0.09,0.146,1.67,1.58,1.0,1.45,0.078,0.026,EKZN630E□□821MM20S,2530,51660.0
63,1000,0.052,16,25,0.09,0.146,1.67,1.58,1.0,1.45,0.072,0.024,EKZN630E□□102ML25S,2890,63000.0
63,1200,0.044,16,31.5,0.09,0.122,1.67,1.58,1.0,1.45,0.06,0.02,EKZN630E□□122MLN3S,3280,75600.0
63,1200,0.044,18,25,0.09,0.122,1.67,1.58,1.0,1.45,0.066,0.022,EKZN630E□□122MM25S,2930,75600.0
63,1500,0.035,16,35.5,0.09,0.097,1.67,1.58,1.0,1.45,0.054,0.018,EKZN630E□□152MLP1S,3440,94500.0
63,1500,0.035,18,31.5,0.09,0.097,1.67,1.58,1.0,1.45,0.054,0.018,EKZN630E□□152MMN3S,3380,94500.0
63,1800,0.029,16,40,0.09,0.081,1.67,1.58,1.0,1.45,0.048,0.016,EKZN630E□□182ML40S,3690,113400.0
63,1800,0.029,18,35.5,0.09,0.081,1.67,1.58,1.0,1.45,0.051,0.017,EKZN630E□□182MMP1S,3550,113400.0
63,2200,0.044,18,40,0.09,0.078,1.33,1.27,1.0,1.2,0.045,0.015,EKZN630E□□222MM40S,3930,138600.0
