Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Ripple Rating (105℃/120Hz),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPJ1C331MPD,MP,16.0,330.00,8.0,15.0,-55,105,3000,1.36,0.16,158,595,455.0,,,,,0.45,0.18,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C331MPD6,MP,16.0,330.00,10.0,12.5,-55,105,5000,1.49,0.16,158,625,480.0,,,,,0.45,0.18,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C391MPD,MP,16.0,390.00,8.0,20.0,-55,105,3000,1.66,0.16,187,730,570.0,,,,,0.4,0.16,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C391MPD6,MP,16.0,390.00,10.0,16.0,-55,105,5000,1.77,0.16,187,730,570.0,,,,,0.4,0.16,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C471MPD,MP,16.0,470.00,8.0,20.0,-55,105,3000,1.66,0.16,226,770,615.0,,,,,0.35,0.14,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C471MPD6,MP,16.0,470.00,10.0,16.0,-55,105,5000,1.77,0.16,226,770,615.0,,,,,0.35,0.14,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C561MPD,MP,16.0,560.00,10.0,20.0,-55,105,5000,2.34,0.16,269,950,770.0,,,,,0.3,0.12,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C561MHD6,MP,16.0,560.00,12.5,15.0,-55,105,5000,2.96,0.16,269,920,745.0,,,,,0.33,0.13,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C681MPD,MP,16.0,680.00,10.0,20.0,-55,105,5000,2.34,0.16,326,1020,845.0,,,,,0.25,0.1,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C681MHD6,MP,16.0,680.00,12.5,15.0,-55,105,5000,2.96,0.16,326,985,815.0,,,,,0.28,0.11,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C821MPD,MP,16.0,820.00,10.0,25.0,-55,105,5000,3.07,0.16,394,1220,1030.0,,,,,0.21,0.084,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C821MHD6,MP,16.0,820.00,12.5,15.0,-55,105,5000,2.96,0.16,394,1060,895.0,,,,,0.24,0.096,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C102MPD,MP,16.0,1000.00,10.0,30.5,-55,105,5000,3.21,0.16,480,1410,1210.0,,,,,0.18,0.072,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C102MHD6,MP,16.0,1000.00,16.0,15.0,-55,105,5000,4.74,0.16,480,1270,1090.0,,,,,0.21,0.084,700,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
